Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 , CO 
Trời quang,15°C,64%,5.3 km/h,1016 mbar,14,13,,15,7.9,
Nhiều mây,-9°C,100%,8.6 km/h,1013 mbar,45.3,45.8,,,4,
Nhiều mây,-2°C,86%,18.5 km/h,1007 mbar,20.5,25,,22.5,1.3,
Nhiều mây,-2°C,92%,6.4 km/h,1006 mbar,24.3,,,,,
Trời quang,17°C,82%,19.3 km/h,1007 mbar,1.8,7.4,,,0.4,
Mây rải rác,12°C,93%,9.3 km/h,1012 mbar,7*,,,20*,1*,
Ít mây,5°C,75%,9.3 km/h,1015 mbar,10,13,,5,2,
Nhiều mây,2°C,85%,4.9 km/h,1014 mbar,1,,,,1,
Mây rải rác,1°C,93%,3.2 km/h,1010 mbar,4.5,2,,,1,
Nhiều mây,10°C,79%,32.2 km/h,1015 mbar,4.5,,,,,
Trời quang,0°C,70%,13 km/h,1017 mbar,2.7,27.5,,,,
Nhiều mây,10°C,80%,7.4 km/h,1015 mbar,21.8,,,,,
Nhiều mây,9°C,79%,7.5 km/h,1015 mbar,9.4,,,,,
Nhiều mây,10°C,81%,8.1 km/h,1021 mbar,1.9,,,,,
Mây rải rác,11°C,90%,4.8 km/h,1019 mbar,3.3,,,,,
Mây rải rác,6°C,79%,2.1 km/h,1020 mbar,7,,,,,
Nhiều mây,17°C,96%,11.1 km/h,1019 mbar,11.7,,,,3.1,
Nhiều mây,0°C,96%,11.1 km/h,1024 mbar,9.2,,,,,
Sương mù,18°C,89%,7.4 km/h,1020 mbar,23.8,,,,,
Trời quang,17°C,96%,7.3 km/h,1019 mbar,6.6,,34,,,
Nhiều mây,-1°C,56%,11.1 km/h,1026 mbar,2,,,,,
Nhiều mây,0°C,75%,17.7 km/h,1026 mbar,3.4,,,,,
Nhiều mây,0°C,88%,11.1 km/h,1025 mbar,7.9,,,,,
Trời quang,-3°C,67%,14.8 km/h,1028 mbar,1.2,,,,,
Mưa,7°C,94%,9.3 km/h,1018 mbar,12.5,,,,,
Nhiều mây,9°C,69%,27.8 km/h,996 mbar,0.2,,,,,
Trời quang,-1°C,71%,7.4 km/h,1025 mbar,10.1*,,,,,
Nhiều mây,7°C,84%,27.4 km/h,996 mbar,4.7,,,,,
Nhiều mây,20°C,86%,14.8 km/h,1016 mbar,9.9,,,,,
Mây rải rác,-11°C,85%,11.3 km/h,1029 mbar,2.2,,,,,
Nhiều mây,0°C,65%,14.4 km/h,1024 mbar,7.9,,,,,
Tuyết,0°C,94%,4.5 km/h,1006 mbar,14,16,,16,1,
Trời quang,-18°C,98%,4.9 km/h,1016 mbar,23.6,,2,35.7,0,
Trời quang,11°C,15%,7.2 km/h,1004 mbar,9,20,70,4,8,500
Nhiều mây,2°C,92%,25.9 km/h,1006 mbar,6.1*,,,,,
Nhiều mây,-2°C,93%,14.8 km/h,1008 mbar,10,13.1,49.1,8.5,,
Tuyết,0°C,93%,18.5 km/h,1007 mbar,10.1,10.7,,,,
Ít mây,-2°C,90%,8.5 km/h,1010 mbar,8.1*,,,,,
Nhiều mây,0°C,80%,5.5 km/h,1010 mbar,3.1*,,,,,
Nhiều mây,0°C,89%,6.3 km/h,1011 mbar,11.1*,,,,,
Nhiều mây,1°C,92%,9.3 km/h,1010 mbar,8.2,,,,,
Nhiều mây,0°C,90%,11.1 km/h,1012 mbar,5.1*,,,,,
Nhiều mây,-2°C,86%,13 km/h,1009 mbar,3.1*,,,,,
Nhiều mây,0°C,100%,7.4 km/h,1013 mbar,5.1*,,,,,
Sương mù,-4°C,93%,3.7 km/h,1013 mbar,28.7,34.5,,26.4,,
Nhiều mây,-6°C,89%,8 km/h,1013 mbar,22.8,24.6,35.9,12,,
Sương mù,-6°C,93%,0 km/h,1013 mbar,25.3,33,19.2,17,0.5,
Nhiều mây,0°C,90%,5 km/h,1008 mbar,16,18,7,,,
Nhiều mây,-1°C,70%,7.1 km/h,1010 mbar,25,30,,,,
Nhiều mây,-1°C,95%,4.6 km/h,1010 mbar,20,24,,,,
Trời quang,-6°C,66%,13 km/h,1043 mbar,1.2,0.8,,,,
Nhiều mây,15°C,54%,8.4 km/h,1014 mbar,1,6,,,,
Nhiều mây,15°C,72%,5 km/h,1013 mbar,1,3,,,,
Nhiều mây,15°C,71%,18.5 km/h,1010 mbar,1,2,,,,
Nhiều mây,15°C,60%,4.8 km/h,1009 mbar,1,1,,,,
Nhiều mây,15°C,58%,6.3 km/h,1013 mbar,1,2,,,,
Nhiều mây,14°C,69%,6.1 km/h,1014 mbar,2.1*,,,,,
Ít mây,18°C,91%,20.4 km/h,991 mbar,17,,,,,
Nhiều mây,9°C,94%,10.4 km/h,1012 mbar,7,12,,,,
Nhiều mây,16°C,56%,9.3 km/h,1014 mbar,1,2,,,,
Mây rải rác,15°C,59%,14.8 km/h,1014 mbar,0,2,,,,
Nhiều mây,16°C,60%,9 km/h,1014 mbar,1,7,,,,
Nhiều mây,-12°C,97%,7.3 km/h,1024 mbar,3.3,4.4,,,,
Nhiều mây,-11°C,90%,14.8 km/h,1019 mbar,2.4,2.4,,,,
Mây rải rác,-12°C,67%,13 km/h,1026 mbar,2.1*,,,,,
Nhiều mây,-6°C,86%,13 km/h,1012 mbar,5.7,9.5,,19.7,,
Trời quang,11°C,80%,13.7 km/h,1004 mbar,1,2,71,3,2,0.1
Nhiều mây,19°C,93%,3.2 km/h,1022 mbar,0.9,,,,,
Mưa,8°C,96%,26.1 km/h,992 mbar,0.3,,,,,
Nhiều mây,17°C,97%,37 km/h,1007 mbar,4,,,,,
Tuyết,-4°C,95%,28.4 km/h,1024 mbar,7,,,,,
Mưa,7°C,92%,28.4 km/h,989 mbar,2,,,,,
Nhiều mây,16°C,74%,14.9 km/h,1014 mbar,1,5,,,,
Nhiều mây,15°C,75%,5.8 km/h,1014 mbar,1,4,,,,
Nhiều mây,16°C,71%,18.5 km/h,1010 mbar,1,2,,,,
Trời quang,21°C,82%,1.6 km/h,1012 mbar,1.7,,,,,
Tuyết,0°C,96%,10.2 km/h,1009 mbar,2.1*,,,,,
Nhiều mây,-4°C,90%,7.8 km/h,1001 mbar,1.7,,,0.4,2.9,
Mưa,2°C,96%,19.3 km/h,989 mbar,1.1*,,,,,
Trời quang,24°C,72%,21.5 km/h,1016 mbar,3.1*,,,,,
Nhiều mây,16°C,61%,9.9 km/h,1013 mbar,5,8,,,,
Mây rải rác,23°C,69%,18.5 km/h,1014 mbar,2.3,9.5,,,2.6,
Trời quang,4°C,48%,0 km/h,1019 mbar,11.3,,,,,
Nhiều mây,0°C,94%,4.5 km/h,1008 mbar,0.9,1.3,,,,
Mây rải rác,-12°C,67%,13 km/h,1026 mbar,2.1*,,,,,
Nhiều mây,-1°C,29%,10.7 km/h,994 mbar,2.5,4,,1.1,1.4,
Mây rải rác,17°C,55%,17.2 km/h,1013 mbar,1,,,,,
Nhiều mây,13°C,82%,9.6 km/h,1013 mbar,4,8,,,,
Nhiều mây,16°C,60%,8.7 km/h,1014 mbar,0,1,,,,
Nhiều mây,15°C,77%,18.3 km/h,1014 mbar,1,3,,,,
Nhiều mây,5°C,87%,37 km/h,1005 mbar,0.1,,,,,
Mưa,4°C,92%,50 km/h,993 mbar,0.2,,,,,
Nhiều mây,7°C,93%,29 km/h,995 mbar,0.2,,,,,
Trời quang,7°C,51%,1.6 km/h,1018 mbar,0.3,,,,,
Trời quang,7°C,75%,7.4 km/h,1014 mbar,14.1*,,,,,
Nhiều mây,10°C,35%,6.4 km/h,1030 mbar,1.8,,,,,
Nhiều mây,15°C,68%,18.5 km/h,1009 mbar,1,3,,,,
Nhiều mây,13°C,71%,6.7 km/h,1014 mbar,4.1,5,,,,
Ít mây,18°C,84%,29.6 km/h,1015 mbar,6,9,,1,2,
Nhiều mây,13°C,100%,11.1 km/h,1013 mbar,3,13,31,4,,
Ít mây,30°C,26%,2.3 km/h,1009 mbar,3.1*,,,,,
Trời quang,18°C,38%,15.1 km/h,1015 mbar,,1,,,,
Nhiều mây,9°C,62%,12.9 km/h,994 mbar,0.2,,,,,
Trời quang,7°C,55%,11.1 km/h,1018 mbar,4.1,,,,,
Ít mây,28°C,99%,8 km/h,1011 mbar,11.1*,,,,,
Mưa,21°C,79%,10.3 km/h,1016 mbar,5.1*,,,,0.2*,
Mưa,14°C,57%,7.9 km/h,1014 mbar,1,4,,,,
Trời quang,23°C,72%,31.5 km/h,1020 mbar,2.1*,,,,,
Trời quang,23°C,76%,6.4 km/h,1018 mbar,5.6,21,80,,0,
Nhiều mây,18°C,71%,4.3 km/h,1013 mbar,3.4,,,,,
Nhiều mây,-6°C,86%,13 km/h,1012 mbar,5.9,6.8,,24.2,,
Trời quang,-12°C,66%,3.6 km/h,1041 mbar,1.4,6.1,,,6.7,
Trời quang,-6°C,74%,27.8 km/h,1019 mbar,1.2,2,,,,
Trời quang,22°C,56%,7.4 km/h,1020 mbar,0.5,,,,,
Trời quang,-4°C,49%,7.3 km/h,1021 mbar,5.1*,,,,,
Trời quang,23°C,65%,29.6 km/h,1020 mbar,8.2,28,,9.8,,
Nhiều mây,21°C,62%,25 km/h,1022 mbar,7.1*,,,,,
Nhiều mây,16°C,62%,1.6 km/h,1013 mbar,0,0,,,,
Mây rải rác,-18°C,78%,9.3 km/h,1035 mbar,2.2,5,,0,0,
Mưa,4°C,92%,8.1 km/h,993 mbar,0,,,,,
Trời quang,19°C,63%,3.2 km/h,1014 mbar,0.4,,,,,
Mưa,3°C,96%,6.4 km/h,993 mbar,2.1*,,,,,
Tuyết,-2°C,90%,39.3 km/h,1029 mbar,5.4,,,0.4,,
Nhiều mây,-5°C,86%,18.5 km/h,1014 mbar,3,0,,,,
Trời quang,23°C,60%,21.8 km/h,1012 mbar,1,,,,,
Trời quang,7°C,76%,4.8 km/h,1018 mbar,13.2,,,,,
Trời quang,0°C,45%,6.4 km/h,1020 mbar,1.9,,,,,
Trời quang,8°C,35%,2.4 km/h,1018 mbar,0.3,9,,,,
Nhiều mây,24°C,83%,12.9 km/h,1020 mbar,5.9,,,,,
Nhiều mây,8°C,64%,27.8 km/h,996 mbar,1.7,,,,,
Tuyết,-2°C,98%,3 km/h,1007 mbar,4.3,,,,,
Mưa,9°C,93%,43.2 km/h,990 mbar,0,,,,,
Trời quang,19°C,63%,14.5 km/h,1015 mbar,0.4,,,,,
Nhiều mây,25°C,75%,4.8 km/h,1013 mbar,2.7,,,,,
Nhiều mây,17°C,54%,24.1 km/h,1014 mbar,1,4,,,,
Tuyết,-15°C,78%,11.1 km/h,1009 mbar,5.9,,,2.7,0.6,103.1
Nhiều mây,0°C,97%,4.1 km/h,1023 mbar,1.4,7.5,28.1,1.1,0,0.2
Nhiều mây,6°C,83%,22.5 km/h,1014 mbar,,,14,,,
Trời quang,-1°C,56%,6.7 km/h,1036 mbar,7.4,,,1.1,2.4,
Trời quang,18°C,94%,6.5 km/h,1013 mbar,2.1*,,,,,
Nhiều mây,13°C,67%,6 km/h,1004 mbar,3,5,50,27,3,0.1
Mây rải rác,19°C,77%,5 km/h,1020 mbar,4.3,,,,,
Mưa,7°C,95%,21.4 km/h,995 mbar,1.9,,,,,
Mưa,9°C,95%,6.4 km/h,995 mbar,1.9,,,,,
Mưa,7°C,94%,22.2 km/h,991 mbar,1.7,,,,,
Nhiều mây,5°C,87%,35.4 km/h,997 mbar,0.1,,,,,
Nhiều mây,5°C,95%,12.1 km/h,998 mbar,3.3,,,,,
Mây rải rác,23°C,68%,18.5 km/h,1014 mbar,1.7,13.2,,3.8,2.6,
Nhiều mây,16°C,60%,8.8 km/h,1014 mbar,1,3,,,,
Nhiều mây,15°C,67%,6 km/h,1013 mbar,1,2,,,,
Mây rải rác,26°C,83%,11.1 km/h,1011 mbar,2.4,,,,,
Ít mây,3°C,75%,7.4 km/h,1006 mbar,1,,,,,
Ít mây,19°C,89%,4.8 km/h,1008 mbar,2.1,,,,,
Trời quang,6°C,80%,11.1 km/h,1021 mbar,21.1*,,,,,
Trời quang,6°C,93%,5.5 km/h,1019 mbar,9.4,20,,,,
Trời quang,2°C,35%,3.7 km/h,1018 mbar,2,,,,,
Nhiều mây,23°C,73%,8.1 km/h,1015 mbar,0.9,,,,,
Nhiều mây,22°C,80%,9.6 km/h,1015 mbar,0.7,,,,,
Nhiều mây,16°C,63%,7.7 km/h,1014 mbar,1.1*,,,,,
Tuyết,1°C,98%,9.2 km/h,994 mbar,0.5,,,,,
Mây rải rác,20°C,82%,13.5 km/h,1012 mbar,3.1*,,,,,
Nhiều mây,31°C,64%,5.8 km/h,1005 mbar,12.7,15.6,11.1,2.8,3,
Ít mây,11°C,75%,13.6 km/h,1005 mbar,4.1*,,,,,
Nhiều mây,-2°C,95%,4.2 km/h,1007 mbar,8.4,14.3,,37.1,,
Ít mây,23°C,71%,29.6 km/h,1021 mbar,4.1*,,,,,
Nhiều mây,0°C,84%,9.6 km/h,1028 mbar,1.9,,,,,
Nhiều mây,8°C,93%,38.9 km/h,997 mbar,0.6,,,,,
Nhiều mây,10°C,86%,31.5 km/h,994 mbar,10.3,,,,,
Mưa,9°C,90%,38.6 km/h,992 mbar,5.1,,,,,
Mưa,7°C,84%,29.6 km/h,996 mbar,1.8,,,,,
Mưa,1°C,97%,11.1 km/h,993 mbar,2.1,,,,,
Mưa,4°C,89%,16.7 km/h,995 mbar,0.2,,,,,
Trời quang,21°C,38%,14.8 km/h,1013 mbar,0.3,,,,,
Mưa,3°C,96%,8.1 km/h,991 mbar,1.1,,,,,
Nhiều mây,3°C,88%,16.1 km/h,1019 mbar,1.9,,,1.5,1.1,
Nhiều mây,-4°C,93%,5.5 km/h,1007 mbar,3.8,,,12.2,,
Nhiều mây,-3°C,93%,13 km/h,1011 mbar,6,6.8,,8.8,,
Ít mây,21°C,82%,7.4 km/h,1013 mbar,3,,,,,
Trời quang,7°C,78%,11.1 km/h,1018 mbar,14.7,27.5,,,,
Ít mây,-7°C,67%,29.6 km/h,1030 mbar,0.5,,,,,
Mây rải rác,29°C,49%,21.9 km/h,1009 mbar,4.2,22.5,,,,
Nhiều mây,26°C,69%,31.5 km/h,1011 mbar,8.6,23.8,,,,
Mây rải rác,22°C,69%,18.5 km/h,1015 mbar,5.1*,,,,,
Nhiều mây,-20°C,93%,11.3 km/h,1020 mbar,2.7,8.4,,,0.3,
Nhiều mây,0°C,93%,20.9 km/h,1024 mbar,4.1,,,0.6,0,
Trời quang,-6°C,77%,3.7 km/h,1010 mbar,0.9,1.1,,1.7,,
Trời quang,-16°C,83%,13 km/h,1019 mbar,1.5,,,,,
Trời quang,4°C,50%,25.7 km/h,1018 mbar,12,,,,,
Nhiều mây,23°C,73%,27.8 km/h,1022 mbar,2.1*,,,,,
Mưa,4°C,87%,50 km/h,993 mbar,0.3,,,,,
Mưa,4°C,91%,16.7 km/h,994 mbar,0,,,,,
Mưa,4°C,86%,45.1 km/h,995 mbar,0.2,,,,,
Mưa,3°C,92%,18.5 km/h,995 mbar,0.5,,,,,
Nhiều mây,16°C,74%,5.3 km/h,1014 mbar,2,3,,,,
Nhiều mây,17°C,54%,24.1 km/h,1014 mbar,1,2,,,,
Nhiều mây,16°C,71%,6.2 km/h,1014 mbar,1,4,,,,
Nhiều mây,24°C,67%,6 km/h,1012 mbar,3.3,,,,,
Tuyết,0°C,94%,11.1 km/h,995 mbar,1,,,3,,
Nhiều mây,-17°C,98%,4.9 km/h,1011 mbar,1.2,,,,,
Ít mây,-15°C,89%,17.1 km/h,1029 mbar,1.1*,,,,,
Trời quang,19°C,92%,3.2 km/h,1011 mbar,1.2,,,,,
Nhiều mây,14°C,73%,4.8 km/h,1006 mbar,1,2,71,1,,
Tuyết,-3°C,94%,5.5 km/h,1004 mbar,2,3.7,2.9,26.9,,
Trời quang,24°C,62%,22.6 km/h,1012 mbar,2.1*,,,,,
Ít mây,21°C,63%,25.4 km/h,1019 mbar,7.2,,,,,
Nhiều mây,3°C,88%,16.7 km/h,993 mbar,0.2,,,,,
Mưa,4°C,95%,18.5 km/h,993 mbar,41.1,,,,,
Nhiều mây,4°C,87%,31.5 km/h,992 mbar,0.5,,,,,
Sương mù,7°C,93%,22.2 km/h,991 mbar,0.7,,,,,
Mưa,4°C,92%,18.5 km/h,994 mbar,0,,,,,
Mưa,4°C,91%,20.4 km/h,994 mbar,1,,,,,
Mưa,4°C,92%,16.7 km/h,995 mbar,0,,,,,
Nhiều mây,25°C,70%,31.5 km/h,1011 mbar,6.8,22.9,,3.8,,
Nhiều mây,25°C,69%,31.5 km/h,1011 mbar,6.7,31.5,,9.4,13.1,
Ít mây,-4°C,89%,6 km/h,1011 mbar,17.2,20,,,1,3.2
Mây rải rác,-5°C,98%,2.9 km/h,1011 mbar,16.7,20,,,1,
Nhiều mây,-4°C,99%,11.1 km/h,1007 mbar,3.5,4,,6.1,,
Tuyết,0°C,79%,4.2 km/h,1009 mbar,11.1*,,,,,
Mây rải rác,28°C,65%,37 km/h,1014 mbar,24,24.9,24.1,8.2,,0.3
Tuyết,0°C,93%,1.6 km/h,1006 mbar,11,12,1,,,
Nhiều mây,18°C,83%,18.2 km/h,1004 mbar,10.1*,,,,,
Nhiều mây,12°C,85%,12.5 km/h,1013 mbar,33,11,,1,,0.8
Ít mây,15°C,69%,24.1 km/h,1005 mbar,2,14,39,11,3,0.1
Nhiều mây,-3°C,93%,8 km/h,1010 mbar,2,3.4,,3.2,,
Nhiều mây,-4°C,93%,14.8 km/h,1010 mbar,3.2,4.6,,10.3,,
Nhiều mây,-2°C,95%,4.5 km/h,1007 mbar,6.2,8.5,,43.6,,
Nhiều mây,-2°C,95%,4.4 km/h,1006 mbar,7.1*,,,,,
Tuyết,-2°C,95%,4 km/h,1007 mbar,4.3,5.6,,51.5,,
Mây rải rác,-2°C,87%,5.5 km/h,1006 mbar,7.1*,,,35*,,
Trời quang,-11°C,73%,24.9 km/h,1018 mbar,0.2,,,,,
Trời quang,-4°C,76%,0 km/h,1022 mbar,0.9,,,,,
Mây rải rác,18°C,64%,3.1 km/h,1020 mbar,10.9,,,,,
Trời quang,2°C,51%,2.4 km/h,1019 mbar,31,22,,0,0,0
Trời quang,0°C,71%,6.4 km/h,1022 mbar,4.1,,,,,
Nhiều mây,7°C,88%,31.5 km/h,995 mbar,0.5,,,,,
Trời quang,1°C,64%,13 km/h,1021 mbar,3,,,,,
Trời quang,2°C,64%,13 km/h,1021 mbar,3.7,,,,,
Tuyết,0°C,73%,16.3 km/h,1008 mbar,0.6,,,,,
Nhiều mây,3°C,84%,16.7 km/h,992 mbar,0.1,,,,,
Nhiều mây,25°C,70%,31.5 km/h,1011 mbar,8,21,,1.9,,
Tuyết,-6°C,96%,3.7 km/h,1005 mbar,2,1,,,,
Mưa,3°C,96%,9.6 km/h,992 mbar,0.1,,,,,
Mưa,3°C,97%,6.4 km/h,992 mbar,2.8,1.6,43.3,24.4,0.4,176.5
Nhiều mây,2°C,74%,9.6 km/h,1015 mbar,3,6.3,36.7,0.7,0,0.1
Nhiều mây,4°C,94%,35.3 km/h,1024 mbar,1.5,,,,1.1,
Nhiều mây,-10°C,98%,5.3 km/h,1014 mbar,2,,,0.1,0.2,
Tuyết,0°C,76%,5.5 km/h,1008 mbar,2.8,4.1,,1.2,0.6,
Tuyết,-2°C,99%,14.8 km/h,1010 mbar,3.1,5.2,,,,
Nhiều mây,-3°C,88%,4.3 km/h,1009 mbar,12,15,30,,,
Trời quang,-1°C,57%,7.3 km/h,1036 mbar,1,,,3.8,7.3,
Trời quang,-6°C,65%,9.8 km/h,1036 mbar,0.3,2.9,,2.3,1.8,
Nhiều mây,11°C,89%,10.5 km/h,1012 mbar,4,6,,1,,
Nhiều mây,-4°C,93%,14.8 km/h,1010 mbar,2.1*,,,,,
Nhiều mây,-2°C,95%,4.3 km/h,1006 mbar,6.2,8.3,,26.6,,
Tuyết,0°C,84%,14.8 km/h,1005 mbar,3,4,,,,
Tuyết,2°C,96%,9.6 km/h,1007 mbar,0.8,1.5,,18.1,,
Nhiều mây,8°C,87%,19 km/h,998 mbar,0.1,,,,,
Nhiều mây,7°C,90%,24.1 km/h,998 mbar,0.4,,,,,
Mưa,8°C,82%,37 km/h,995 mbar,0.1,,,,,
Mưa,4°C,92%,16.7 km/h,994 mbar,0.6,,,,,
Mưa,4°C,92%,16.7 km/h,994 mbar,0.6,,,,,
Mưa,4°C,93%,1.6 km/h,995 mbar,0.3,,,,,
Trời quang,22°C,76%,13 km/h,1020 mbar,5.3,,,,,
Tuyết,-1°C,97%,14.3 km/h,999 mbar,0.7,,,,,
Nhiều mây,25°C,69%,31.5 km/h,1011 mbar,8.2,22.2,,7.5,,
Nhiều mây,22°C,81%,4.8 km/h,1015 mbar,4.1*,,,,,
Nhiều mây,14°C,75%,3.2 km/h,1014 mbar,1,4,,,,
Trời quang,-6°C,53%,13.6 km/h,1034 mbar,1,,,,,
Nhiều mây,-6°C,88%,5.5 km/h,1023 mbar,6.5,7.5,,6.3,,
Tuyết,-6°C,95%,12.6 km/h,1009 mbar,2.1,2.3,,,2.8,
Trời quang,-7°C,79%,15 km/h,1023 mbar,3.4,5,,,,
Trời quang,-7°C,79%,15 km/h,1023 mbar,3.4,5,,,,
Trời quang,-7°C,100%,6.4 km/h,1021 mbar,3.6,4.3,,,,
Ít mây,19°C,86%,29.6 km/h,1016 mbar,8,11,,5,2,
Nhiều mây,-3°C,93%,13 km/h,1010 mbar,3.2,4.9,,19.5,,
Nhiều mây,-3°C,93%,13 km/h,1010 mbar,1.9,3.6,,,,
Nhiều mây,-6°C,86%,24.1 km/h,1013 mbar,2.7,0,,,,
Mưa,1°C,91%,7.4 km/h,1004 mbar,,,,4,,
Mây rải rác,0°C,84%,14.8 km/h,1005 mbar,4.1*,,,,,
Tuyết,0°C,86%,4.7 km/h,1006 mbar,4.4,5.9,,21.4,2.2,
Nhiều mây,-2°C,95%,4.5 km/h,1006 mbar,5.3,6.9,,32,,
Trời quang,18°C,92%,13.4 km/h,1020 mbar,10.1*,,,,,
Trời quang,22°C,76%,13 km/h,1020 mbar,5.3,,,,,
Nhiều mây,4°C,91%,20.4 km/h,993 mbar,0.1,,,,,
Mưa,4°C,94%,6.4 km/h,993 mbar,0,,,,,
Mưa,3°C,89%,11.3 km/h,994 mbar,0,,,,,
Mưa,4°C,89%,16.7 km/h,993 mbar,0.3,,,,,
Trời quang,32°C,24%,27.8 km/h,1003 mbar,0.2,,,,,
Trời quang,22°C,62%,9.6 km/h,1012 mbar,2.1*,,,,,
Mây rải rác,-17°C,96%,3.5 km/h,1012 mbar,2.1*,,,,,
Tuyết,1°C,96%,7.2 km/h,994 mbar,0.1,,,,,
Ít mây,22°C,88%,14.8 km/h,1015 mbar,2.1*,,,,,
Tuyết,-1°C,97%,14.1 km/h,1010 mbar,3,4.4,,9.5,,
Mưa,8°C,91%,4.8 km/h,997 mbar,1.6,1.9,,,,
Nhiều mây,20°C,94%,13 km/h,1012 mbar,2.1*,,,,,
Mưa,27°C,80%,4.6 km/h,1015 mbar,5.1*,,29.2*,4.9*,0.5*,
Tuyết,0°C,91%,6.4 km/h,1009 mbar,8,12,,,1,
Mây rải rác,13°C,75%,11.1 km/h,1005 mbar,8,10,6,17,3,0.5
Nhiều mây,2°C,85%,9.6 km/h,1007 mbar,8,9.7,,,,
Trời quang,6°C,87%,11.1 km/h,1020 mbar,10,15,,,,
Nhiều mây,9°C,73%,12.9 km/h,996 mbar,1.5,,,,,
Trời quang,-10°C,59%,5.3 km/h,1033 mbar,5.6,,56,,0,
Mưa,2°C,96%,19.3 km/h,990 mbar,0.4,,,,,
Tuyết,1°C,96%,6.4 km/h,993 mbar,1.4,,,,,
Nhiều mây,3°C,91%,14.5 km/h,1022 mbar,2.8,,,0,1.1,
Trời quang,-4°C,46%,12.1 km/h,1033 mbar,1,,,2.4,,
Trời quang,19°C,69%,2.6 km/h,1013 mbar,6,15,,,,
Nhiều mây,0°C,70%,25.7 km/h,1012 mbar,1.4,1.9,,2.1,1.4,
Nhiều mây,-2°C,99%,8 km/h,1014 mbar,8.7,11.5,,,,
Nhiều mây,-5°C,93%,7.2 km/h,1013 mbar,6,5.2,,12.9,,
Nhiều mây,-4°C,95%,8.2 km/h,1010 mbar,4.5,4.6,,,,
Nhiều mây,12°C,84%,12.3 km/h,1013 mbar,2.1*,5*,,6*,2*,
Trời quang,21°C,79%,7.6 km/h,1013 mbar,2.4,,,,,
Nhiều mây,12°C,76%,9.3 km/h,1005 mbar,6,3,19,14,6,0.1
Tuyết,1°C,88%,3.2 km/h,1002 mbar,1.6,2.6,,10.4,,
Tuyết,0°C,85%,14.8 km/h,1005 mbar,6.2,12.1,,,,
Nhiều mây,-11°C,100%,3.4 km/h,1025 mbar,0.3,,,,,
Trời quang,4°C,50%,3.2 km/h,1020 mbar,0.7,,,,,
Ít mây,9°C,59%,7.4 km/h,1018 mbar,20,18.2,6,,,
Trời quang,0°C,72%,0 km/h,1021 mbar,3.4,,,,,
Mưa,7°C,89%,27.8 km/h,1004 mbar,0.6,,,,,
Nhiều mây,6°C,97%,3.2 km/h,1012 mbar,1,,,,,
Trời quang,2°C,70%,8.1 km/h,1021 mbar,2.5,,,,,
Nhiều mây,9°C,62%,40.1 km/h,995 mbar,4.6,,,,,
Nhiều mây,7°C,87%,11.1 km/h,996 mbar,0.3,,,,,
Mưa,4°C,90%,8.1 km/h,995 mbar,0.8,,,,,
Mưa,4°C,87%,50 km/h,993 mbar,0.2,,,,,
Tuyết,0°C,98%,21.5 km/h,1007 mbar,1.6,,,,,
Trời quang,-5°C,56%,25.9 km/h,1018 mbar,0.1,,,,,
Nhiều mây,23°C,93%,5.5 km/h,1007 mbar,11.1*,,,,,
Ít mây,27°C,29%,7.7 km/h,1010 mbar,6.4,17.9,0.4,0.1,0,
Ít mây,16°C,66%,10.8 km/h,1016 mbar,,5,,,,
Ít mây,19°C,61%,24.1 km/h,1015 mbar,0.5,,,,,
Trời quang,25°C,28%,0.7 km/h,1011 mbar,1,,,,,
Tuyết,-2°C,97%,2.4 km/h,1006 mbar,4,6,,7,0,
Mưa,4°C,88%,6.4 km/h,992 mbar,0.1,,,,,
Nhiều mây,-10°C,96%,8.6 km/h,1014 mbar,2,3.6,,3.2,0.2,
Nhiều mây,-4°C,100%,16.7 km/h,1015 mbar,8.3,,,,,
Tuyết,0°C,87%,25.9 km/h,1008 mbar,0.8,1.1,,4.5,0.2,
Mưa,28°C,65%,37 km/h,1014 mbar,4.7,12.8,,3.3,,
Nhiều mây,0°C,49%,5.5 km/h,1015 mbar,4,,,,,
Nhiều mây,20°C,92%,57.2 km/h,1006 mbar,1,,,,,
Mưa,27°C,73%,3.9 km/h,1004 mbar,26,,,,,
Nhiều mây,3°C,74%,9 km/h,1013 mbar,6,11,,4,,0.2
Mây rải rác,-2°C,92%,3.7 km/h,1006 mbar,3.8,5.1,,,,
Nhiều mây,-13°C,100%,3.9 km/h,1025 mbar,1.2,,,,,
Trời quang,7°C,81%,7.4 km/h,1019 mbar,17.3,,,,,
Trời quang,-4°C,78%,0 km/h,1022 mbar,4,7,,,,
Mưa,7°C,88%,27.8 km/h,1005 mbar,0.1,,,,,
Nhiều mây,10°C,82%,17.7 km/h,1011 mbar,1.1,,,,,
Trời quang,-5°C,79%,14.5 km/h,1022 mbar,0.6,,,,,
Trời quang,19°C,83%,5.5 km/h,1018 mbar,11.6,,,,,
Trời quang,19°C,91%,5.5 km/h,1018 mbar,10.1*,,,,,
Trời quang,22°C,75%,13 km/h,1020 mbar,2.8,,,,,
Trời quang,0°C,84%,9.3 km/h,1026 mbar,4.6,,,,,
Nhiều mây,-1°C,80%,7.4 km/h,1023 mbar,4.1*,,,,,
