Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 , CO ,target
Trời quang,7°C,86%,5.5 km/h,1021 mbar,7.8,,,,,,Tốt
Trời quang,8°C,67%,1.6 km/h,1021 mbar,1.2,,,,,,Tốt
Mây rải rác,0°C,86%,16.7 km/h,1009 mbar,4.5,,,,,,Tốt
Nhiều mây,-9°C,63%,3.2 km/h,1006 mbar,0.5,,,,,,Tốt
Nhiều mây,15°C,28%,11.3 km/h,1000 mbar,,,84,,,,Tốt
Nhiều mây,-2°C,46%,19.3 km/h,1003 mbar,5,10,,,,,Tốt
Nhiều mây,-4°C,66%,11.3 km/h,1000 mbar,6.8,,,,,,Tốt
Nhiều mây,23°C,80%,16.7 km/h,1013 mbar,19.3,,,,,,Trung bình
Trời quang,3°C,48%,12.9 km/h,1026 mbar,4.2,,,,,,Tốt
Trời quang,2°C,53%,0 km/h,1020 mbar,4.4,,,,,,Tốt
Nhiều mây,1°C,71%,13 km/h,1026 mbar,15.9,,,11.3,,,Trung bình
Trời quang,3°C,48%,9.3 km/h,1023 mbar,4.1*,,,,,,Tốt
Ít mây,0°C,69%,9.3 km/h,1027 mbar,8.4,,,,,,Tốt
Trời quang,-4°C,71%,7.4 km/h,1026 mbar,4.2,,,,,,Tốt
Trời quang,-3°C,72%,3.2 km/h,1026 mbar,2.8,,,,,,Tốt
Mây rải rác,10°C,73%,6.2 km/h,1022 mbar,6,,,,,,Tốt
Nhiều mây,2°C,79%,1.6 km/h,1022 mbar,12.1*,,,,,,Trung bình
Trời quang,10°C,56%,9.3 km/h,1024 mbar,6,12,,,,,Tốt
Nhiều mây,2°C,78%,14.8 km/h,1027 mbar,21.1,,,,,,Trung bình
Trời quang,3°C,45%,11.1 km/h,1025 mbar,3.9,,,9.4,0,,Tốt
Mưa,17°C,91%,17.6 km/h,1008 mbar,5.6,,38,,,,Tốt
Nhiều mây,-1°C,86%,14.5 km/h,1009 mbar,9.8,,,,,,Tốt
Trời quang,4°C,46%,6.4 km/h,1026 mbar,6.6,,4.2,,,,Tốt
Nhiều mây,4°C,66%,9.6 km/h,1026 mbar,10.7,,,,,,Tốt
Nhiều mây,0°C,81%,22.2 km/h,1024 mbar,14,,,,,,Trung bình
Nhiều mây,-2°C,55%,11.1 km/h,1005 mbar,19.1*,,,,,,Trung bình
Trời quang,-1°C,65%,16.4 km/h,1021 mbar,3.4,,,6.4,0,,Tốt
Nhiều mây,0°C,93%,9.3 km/h,1001 mbar,6.1*,,,,,,Tốt
Nhiều mây,0°C,55%,10.4 km/h,1003 mbar,16.1*,,,,,,Trung bình
Trời quang,-1°C,81%,9.3 km/h,1001 mbar,7.1*,,,,,,Tốt
Nhiều mây,0°C,69%,10.9 km/h,1004 mbar,7.1*,,,,,,Tốt
Nhiều mây,7°C,94%,3.2 km/h,1005 mbar,6.1*,,,,,,Tốt
Trời quang,-2°C,78%,1.8 km/h,1008 mbar,14,,,,,,Trung bình
Mây rải rác,-6°C,79%,5.5 km/h,1008 mbar,6.1*,,,,,,Tốt
Nhiều mây,-5°C,77%,8.4 km/h,1012 mbar,7.1*,,,,,,Tốt
Nhiều mây,-4°C,67%,4.6 km/h,1011 mbar,18.1,23.1,3.1,35.3,,,Trung bình
Trời quang,-4°C,77%,4.8 km/h,1010 mbar,23.5,30,,35.5,,,Trung bình
Ít mây,-2°C,91%,9.4 km/h,1012 mbar,17.8,21.4,,9.4,1.2,,Trung bình
Nhiều mây,-2°C,79%,13.6 km/h,1005 mbar,16.5,24,,42.5,,,Trung bình
Nhiều mây,-3°C,91%,5.5 km/h,1011 mbar,17,19,,,,,Trung bình
Nhiều mây,3°C,75%,29.6 km/h,1002 mbar,36.4,17.7,,20.1,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,10°C,93%,0.8 km/h,1006 mbar,3.1*,,,,,,Tốt
Nhiều mây,4°C,69%,6.4 km/h,1007 mbar,11.4,,,,,,Tốt
Nhiều mây,6°C,68%,4.9 km/h,1004 mbar,,,31.3,12.6,,,Tốt
Mây rải rác,10°C,55%,1.6 km/h,1012 mbar,11*,,,,,,Tốt
Mây rải rác,8°C,57%,26.6 km/h,1016 mbar,21.1*,,,,,,Trung bình
Nhiều mây,6°C,69%,49.9 km/h,1012 mbar,7,14,,3.8,,,Tốt
Mây rải rác,14°C,57%,37.8 km/h,1021 mbar,25,,,,,,Trung bình
Mây rải rác,3°C,82%,4.6 km/h,1005 mbar,15,,,3.8,,,Trung bình
Nhiều mây,9°C,63%,22.9 km/h,1015 mbar,12,11,,,2.6,,Tốt
Ít mây,9°C,75%,22.6 km/h,1010 mbar,6,15,,9.4,2.6,,Tốt
Trời quang,2°C,81%,0 km/h,1006 mbar,11,8,,24.4,,458,Tốt
Nhiều mây,10°C,70%,41.9 km/h,1021 mbar,29,38,,9.4,2.6,,Trung bình
Nhiều mây,-4°C,88%,16.7 km/h,1004 mbar,4.6,,,,4.2,,Tốt
Trời quang,-2°C,68%,14.8 km/h,1004 mbar,24,29.5,17,41.8,1.3,,Trung bình
Nhiều mây,-3°C,91%,3.2 km/h,1008 mbar,39.1,48,2.4,,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,15°C,97%,7 km/h,1010 mbar,9.9,32.2,,,0.2,,Tốt
Ít mây,17°C,88%,20.4 km/h,1005 mbar,2.1*,,,,,,Tốt
Ít mây,15°C,77%,7.4 km/h,999 mbar,14,25,,49,3,,Trung bình
Nhiều mây,15°C,84%,6.7 km/h,1000 mbar,5,9,40,,1,,Tốt
Nhiều mây,1°C,82%,21.1 km/h,1005 mbar,11,14,,,,,Tốt
Sương mù,8°C,86%,9.3 km/h,1021 mbar,11.4,,,,,,Tốt
Trời quang,5°C,42%,20.4 km/h,1018 mbar,1.4,13,,,,,Tốt
Trời quang,7°C,85%,6.4 km/h,1020 mbar,5.7,,,,,,Tốt
Trời quang,0°C,60%,5.5 km/h,1024 mbar,4.1*,,,,,,Tốt
Trời quang,16°C,42%,18.5 km/h,1003 mbar,0.5,,,,,,Tốt
Sương mù,2°C,94%,5.5 km/h,1024 mbar,24.5,,,,,,Trung bình
Trời quang,2°C,54%,13 km/h,1024 mbar,4.1*,,,,,,Tốt
Sương mù,1°C,94%,5.5 km/h,1024 mbar,27.8,,,,,,Trung bình
Nhiều mây,22°C,83%,13 km/h,1005 mbar,16.7,,,,,,Trung bình
Tuyết,-5°C,84%,1.6 km/h,1022 mbar,1.3,,,,,,Tốt
Nhiều mây,1°C,57%,29.3 km/h,1018 mbar,15.6,,,,,,Trung bình
Nhiều mây,-6°C,71%,5.9 km/h,1012 mbar,27,38,1,58,3,,Trung bình
Mây rải rác,-16°C,88%,8.1 km/h,1024 mbar,9.6,,,5.6,0,,Tốt
Ít mây,1°C,46%,4.6 km/h,1012 mbar,33,37,20,40,8,1200,Trung bình
Nhiều mây,6°C,93%,24.1 km/h,1003 mbar,6.1*,,,46*,,,Tốt
Sương mù,1°C,100%,0 km/h,1001 mbar,24,29.9,3.3,50.9,,,Trung bình
Nhiều mây,0°C,93%,7.4 km/h,1001 mbar,29.5,30.1,1.1,38.7,,,Trung bình
Nhiều mây,-1°C,83%,4.2 km/h,1004 mbar,12.1*,,,41.1*,,,Trung bình
Nhiều mây,1°C,93%,9.3 km/h,1001 mbar,7.1*,,,,,,Tốt
Nhiều mây,-1°C,52%,18.4 km/h,1006 mbar,11.1*,,,,,,Tốt
Trời quang,0°C,69%,13 km/h,1002 mbar,22.1*,,,,,,Trung bình
Nhiều mây,4°C,94%,9.3 km/h,1000 mbar,4.1*,,,,,,Tốt
Sương mù,5°C,100%,13 km/h,999 mbar,3.1*,,,,,,Tốt
Trời quang,12°C,100%,7.4 km/h,998 mbar,2.1*,,,,,,Tốt
Trời quang,0°C,79%,14.8 km/h,999 mbar,36.1,45.4,,33.8,,,Không lành mạnh cho các nhóm nhạy cảm
Nhiều mây,0°C,67%,12.9 km/h,1001 mbar,25.8,34.9,33.8,13.3,,,Trung bình
Nhiều mây,1°C,85%,13 km/h,999 mbar,35.4,46.9,17.5,22,0.2,,Trung bình
Nhiều mây,-2°C,74%,16.5 km/h,1009 mbar,20,22,,,,,Trung bình
Ít mây,-3°C,80%,8.5 km/h,1011 mbar,34,42,,,,,Trung bình
Ít mây,-4°C,68%,8.6 km/h,1011 mbar,26,30,,,,,Trung bình
Trời quang,-12°C,92%,6.9 km/h,1035 mbar,1.3,1,,,,,Tốt
Mưa,4°C,93%,5.6 km/h,1004 mbar,0,1,,,,,Tốt
Nhiều mây,8°C,99%,6.6 km/h,1007 mbar,1,3,,,,,Tốt
Nhiều mây,8°C,94%,29.6 km/h,1002 mbar,2,5,,,,,Tốt
Nhiều mây,8°C,78%,12.9 km/h,1001 mbar,0,1,,,,,Tốt
Nhiều mây,7°C,74%,6.7 km/h,1006 mbar,0,1,,,,,Tốt
Mưa,5°C,99%,3.7 km/h,1003 mbar,2.1*,,,,,,Tốt
Mưa,15°C,70%,40.8 km/h,1004 mbar,20,4,,1,7,,Trung bình
Nhiều mây,17°C,86%,30.1 km/h,1008 mbar,0,1,,0,,,Tốt
Nhiều mây,7°C,98%,3.6 km/h,1004 mbar,0,0,,,,,Tốt
Nhiều mây,9°C,86%,26.9 km/h,1007 mbar,1,3,,,,,Tốt
Nhiều mây,9°C,77%,11.3 km/h,1005 mbar,1,6,,,,,Tốt
Tuyết,-17°C,96%,9.5 km/h,1002 mbar,1.6,1.8,,,,,Tốt
Nhiều mây,-15°C,94%,5 km/h,1002 mbar,1.1,1.1,,,,,Tốt
Mưa,6°C,93%,3.7 km/h,1005 mbar,0,0,,,,,Tốt
Nhiều mây,-11°C,83%,14.3 km/h,1013 mbar,11.3,,,15,15.4,137.4,Tốt
Mưa,3°C,82%,40 km/h,1007 mbar,2.7,14,31.3,0.9,0.2,0,Tốt
Nhiều mây,6°C,83%,22.5 km/h,1014 mbar,,,14,,,,Tốt
Mây rải rác,-4°C,66%,7.6 km/h,1028 mbar,4.2,,,19.9,2.1,,Tốt
Trời quang,27°C,71%,9 km/h,1014 mbar,3.1*,,,,,,Tốt
Nhiều mây,17°C,83%,24.2 km/h,1001 mbar,4,8,25,21,3,0.3,Tốt
Ít mây,19°C,68%,3.1 km/h,1016 mbar,0,,,,,,Tốt
Ít mây,3°C,96%,1.3 km/h,1024 mbar,5.7,,,,,,Tốt
Nhiều mây,4°C,94%,9.3 km/h,1024 mbar,8.1,,,,,,Tốt
Nhiều mây,3°C,90%,1.6 km/h,1030 mbar,4.9,,,,,,Tốt
Nhiều mây,0°C,99%,1.6 km/h,1024 mbar,3.9,,,,,,Tốt
Nhiều mây,20°C,86%,0 km/h,1007 mbar,4.8,25.6,,,2.6,,Tốt
Nhiều mây,7°C,84%,7.9 km/h,1005 mbar,1,4,,,,,Tốt
Nhiều mây,7°C,97%,12.5 km/h,1008 mbar,1,3,,,,,Tốt
Ít mây,30°C,62%,22.2 km/h,1009 mbar,5,,,,,,Tốt
Ít mây,11°C,40%,72.2 km/h,995 mbar,8,,,,,,Tốt
Trời quang,27°C,66%,11.3 km/h,1010 mbar,3.8,,,,,,Tốt
Mây rải rác,9°C,60%,9.3 km/h,1017 mbar,0.8,,,,,,Tốt
Mây rải rác,10°C,60%,7.4 km/h,1016 mbar,1.9,9,,,,,Tốt
Trời quang,6°C,54%,2.7 km/h,1021 mbar,2.8,,,,,,Tốt
Nhiều mây,20°C,95%,8.6 km/h,1007 mbar,4.6,,,,,,Tốt
Nhiều mây,21°C,98%,2.5 km/h,1007 mbar,1.9,,,,,,Tốt
Mưa,6°C,99%,6.3 km/h,1004 mbar,1.1*,,,,,,Tốt
Nhiều mây,2°C,76%,3.6 km/h,1024 mbar,1.7,,,,,,Tốt
Nhiều mây,21°C,85%,14.9 km/h,1012 mbar,3.1*,,,,,,Tốt
Nhiều mây,26°C,94%,2.5 km/h,1009 mbar,15.6,21.2,10.4,2.3,3,,Trung bình
Nhiều mây,16°C,95%,30 km/h,1001 mbar,4.1*,,,,,,Tốt
Trời quang,-4°C,93%,4.2 km/h,1014 mbar,12.8,15.7,,51.7,,,Trung bình
Mây rải rác,22°C,78%,20.4 km/h,1016 mbar,4.1*,,,,,,Tốt
Nhiều mây,0°C,85%,21 km/h,1024 mbar,1.9,,,,,,Tốt
Trời quang,4°C,93%,13 km/h,1024 mbar,3.5,,,,,,Tốt
Trời quang,2°C,98%,1.6 km/h,1024 mbar,3.7,,,,,,Tốt
Nhiều mây,4°C,91%,1.6 km/h,1024 mbar,7.3,,,,,,Tốt
Sương mù,0°C,93%,5.5 km/h,1024 mbar,10,,,,,,Tốt
Nhiều mây,2°C,98%,0 km/h,1024 mbar,9.2,,,,,,Tốt
Sương mù,2°C,88%,0 km/h,1024 mbar,7.6,,,,,,Tốt
Mưa,9°C,80%,18.5 km/h,1008 mbar,0,3.9,28,,,,Tốt
Nhiều mây,2°C,97%,3.6 km/h,1024 mbar,12.7,,,,,,Trung bình
Sương mù,3°C,97%,42.6 km/h,991 mbar,3.9,,,4.9,0.3,,Tốt
Nhiều mây,-10°C,85%,5.5 km/h,994 mbar,4.3,,,12.1,,,Tốt
Tuyết,-7°C,86%,9.3 km/h,992 mbar,6,8.3,,16.5,,,Tốt
Mây rải rác,26°C,68%,13 km/h,1015 mbar,4.8,,,,,,Tốt
Nhiều mây,9°C,61%,9.3 km/h,1016 mbar,2.7,12,,,,,Tốt
Nhiều mây,-2°C,63%,24.1 km/h,1016 mbar,3.2,,,,,,Tốt
Nhiều mây,24°C,82%,6.3 km/h,1006 mbar,4,8.7,,,,,Tốt
Nhiều mây,24°C,83%,0 km/h,1006 mbar,3.4,9.6,,1.9,2.6,,Tốt
Nhiều mây,20°C,89%,0 km/h,1008 mbar,10.3,,,,,,Tốt
Nhiều mây,-17°C,86%,10.8 km/h,1010 mbar,2.2,4.9,,,1.3,,Tốt
Tuyết,-1°C,86%,32.2 km/h,1006 mbar,3.2,,,3,0,,Tốt
Trời quang,-7°C,92%,14.8 km/h,998 mbar,3.5,4.3,,,,,Tốt
Tuyết,-7°C,89%,9.3 km/h,1010 mbar,1.1,,,,,,Tốt
Trời quang,4°C,54%,8.1 km/h,1017 mbar,1.6,,,,,,Tốt
Mây rải rác,23°C,76%,29.6 km/h,1018 mbar,2.1*,,,,,,Tốt
Nhiều mây,2°C,91%,7.4 km/h,1025 mbar,6.6,,,,,,Tốt
Trời quang,3°C,93%,4.8 km/h,1024 mbar,4,,,,,,Tốt
Nhiều mây,4°C,87%,6.4 km/h,1026 mbar,7.8,,,,,,Tốt
Sương mù,1°C,96%,0 km/h,1025 mbar,5,,,,,,Tốt
Nhiều mây,8°C,97%,9.7 km/h,1006 mbar,1,3,,,,,Tốt
Mưa,7°C,93%,3.7 km/h,1005 mbar,0,1,,,,,Tốt
Nhiều mây,5°C,97%,5.7 km/h,1004 mbar,0,2,,,,,Tốt
Nhiều mây,35°C,22%,14.9 km/h,1007 mbar,4.6,,,,,,Tốt
Nhiều mây,-1°C,93%,13 km/h,1023 mbar,6,,,,,,Tốt
Nhiều mây,-13°C,92%,16.7 km/h,1009 mbar,6.8,19.9,,9.6,,,Tốt
Ít mây,-29°C,94%,15 km/h,1030 mbar,1.1*,,,,,,Tốt
Ít mây,27°C,66%,4.8 km/h,1012 mbar,2.4,,,,,,Tốt
Nhiều mây,19°C,78%,4.8 km/h,1003 mbar,5,10,46,3,,,Tốt
Tuyết,-8°C,92%,5.5 km/h,1005 mbar,13,17,,20.2,,,Trung bình
Trời quang,26°C,60%,8 km/h,1014 mbar,2.1*,,,,,,Tốt
Mây rải rác,21°C,71%,16.8 km/h,1015 mbar,0.2,,,,,,Tốt
Nhiều mây,1°C,89%,3.2 km/h,1024 mbar,4.1,,,,,,Tốt
Nhiều mây,2°C,92%,0 km/h,1024 mbar,7.6,,,,,,Tốt
Sương mù,1°C,96%,1.6 km/h,1025 mbar,10.9,,,,,,Tốt
Nhiều mây,23°C,70%,0 km/h,1006 mbar,3.8,11.8,,13.2,,,Tốt
Nhiều mây,23°C,83%,0 km/h,1006 mbar,1.3,6.3,,5.6,,,Tốt
Nhiều mây,-3°C,80%,17.4 km/h,1007 mbar,9.9,12,,,1,,Tốt
Nhiều mây,-4°C,78%,19.8 km/h,1007 mbar,3.1,6,,5,1,,Tốt
Nhiều mây,-10°C,87%,7.4 km/h,991 mbar,3.9,7.1,,12.4,,,Tốt
Nhiều mây,-3°C,56%,7.1 km/h,1007 mbar,14.1*,,,,,,Trung bình
Trời quang,23°C,73%,13 km/h,1017 mbar,19,22.9,34.9,12.8,0.5,0.2,Trung bình
Nhiều mây,17°C,89%,7.1 km/h,1005 mbar,2.1*,,,,,,Tốt
Nhiều mây,16°C,89%,27.3 km/h,1008 mbar,30,15,,2,,,Trung bình
Ít mây,18°C,82%,3.7 km/h,1003 mbar,3,13,7.5,32,3,0.2,Tốt
Nhiều mây,-11°C,81%,16.2 km/h,1000 mbar,5,2.5,,3.4,,,Tốt
Nhiều mây,-12°C,79%,13 km/h,1000 mbar,4.4,7,,36.5,,,Tốt
Trời quang,-5°C,93%,3.8 km/h,1014 mbar,16.6,19.6,,50.3,,,Trung bình
Trời quang,-4°C,93%,4 km/h,1012 mbar,15.1*,,,,,,Trung bình
Trời quang,-6°C,91%,4.2 km/h,1011 mbar,10.1,13.2,,61.4,,,Tốt
Sương mù,-5°C,98%,1.8 km/h,1010 mbar,19.1*,,,,,,Trung bình
Tuyết,-3°C,96%,2.8 km/h,1015 mbar,0.7,,,,,,Tốt
Mưa,20°C,87%,35.2 km/h,1012 mbar,3,29,,,2,,Tốt
Ít mây,-9°C,82%,20.4 km/h,1002 mbar,4,5.3,,27.8,,,Tốt
Ít mây,-9°C,80%,18.5 km/h,1002 mbar,4,5.6,,,,,Tốt
Trời quang,-12°C,72%,16.7 km/h,998 mbar,2.6,,,,,,Tốt
Ít mây,-2°C,84%,7.4 km/h,1009 mbar,13.5,22.1,,152.6,,,Trung bình
Mây rải rác,-3°C,90%,3.7 km/h,1009 mbar,13,18.8,,67.1,,,Trung bình
Ít mây,-4°C,84%,3.7 km/h,1010 mbar,12,18.8,,41.5,5.8,,Tốt
Trời quang,-5°C,92%,3.7 km/h,1011 mbar,13.9,17.1,,36.7,,,Trung bình
Trời quang,26°C,58%,6.8 km/h,1017 mbar,8.1*,,,,,,Tốt
Trời quang,22°C,68%,11.3 km/h,1015 mbar,1.6,,,,,,Tốt
Nhiều mây,2°C,89%,3.2 km/h,1024 mbar,4.6,,,,,,Tốt
Mây rải rác,3°C,95%,1.6 km/h,1023 mbar,4.8,,,,,,Tốt
Sương mù,1°C,92%,0 km/h,1024 mbar,13.4,,,,,,Trung bình
Sương mù,2°C,90%,3.2 km/h,1023 mbar,18,,,,,,Trung bình
Trời quang,10°C,74%,11.1 km/h,1018 mbar,0.7,,,,,,Tốt
Trời quang,26°C,64%,11.4 km/h,1014 mbar,2.1*,,,,,,Tốt
Nhiều mây,-7°C,80%,10.4 km/h,1014 mbar,6.1*,,,,,,Tốt
Mây rải rác,3°C,80%,3.5 km/h,1024 mbar,1.9,,,,,,Tốt
Trời quang,-3°C,69%,3.2 km/h,1020 mbar,4.2,,70,,0,,Tốt
Nhiều mây,1°C,95%,13 km/h,1022 mbar,7.7,9.9,3.5,26.6,1.4,,Tốt
Mây rải rác,0°C,94%,2.4 km/h,1023 mbar,2.7,,,,1.8,,Tốt
Tuyết,0°C,98%,43.5 km/h,995 mbar,1.7,,,,1.6,,Tốt
Trời quang,0°C,60%,10.3 km/h,1030 mbar,0,,,3,,,Tốt
Trời quang,28°C,21%,17.5 km/h,1013 mbar,10,14,,,,,Tốt
Tuyết,-2°C,91%,27.3 km/h,993 mbar,2.4,3.5,,3.5,1,,Tốt
Nhiều mây,-2°C,94%,16.3 km/h,995 mbar,3.6,5.4,,4.5,1,,Tốt
Tuyết,-3°C,96%,17.1 km/h,993 mbar,4.9,4,,,0.7,,Tốt
Nhiều mây,0°C,99%,10.2 km/h,1003 mbar,0.7,1.3,,,,,Tốt
Nhiều mây,16°C,90%,19.7 km/h,1006 mbar,2.1*,,,,,,Tốt
Trời quang,27°C,69%,9.6 km/h,1015 mbar,4.3,,,,,,Tốt
Mưa,16°C,77%,19.8 km/h,1000 mbar,10,30,17,29,8,0.1,Tốt
Ít mây,-2°C,88%,8.1 km/h,1005 mbar,7.8,11.1,,,,,Tốt
Mây rải rác,-3°C,93%,3.7 km/h,1009 mbar,12.8,16.7,,,,,Trung bình
Nhiều mây,-17°C,80%,7.4 km/h,1008 mbar,1.5,11,,,,,Tốt
Nhiều mây,2°C,88%,1.6 km/h,1015 mbar,4.5,,,,,,Tốt
Nhiều mây,2°C,92%,1.9 km/h,1024 mbar,3.8,,,,,,Tốt
Nhiều mây,3°C,87%,7.4 km/h,1024 mbar,12.1,,,,,,Tốt
Nhiều mây,-4°C,94%,7.5 km/h,1025 mbar,4.3,,,,,,Tốt
Tuyết,-11°C,81%,20.4 km/h,1008 mbar,11.9,,,,,,Tốt
Trời quang,31°C,19%,7.4 km/h,1011 mbar,3.1*,,,,,,Tốt
Trời quang,13°C,44%,2.6 km/h,1009 mbar,0,3,0.2,0.1,0,,Tốt
Nhiều mây,10°C,82%,6.3 km/h,1007 mbar,1,15,,,,,Tốt
Trời quang,14°C,69%,11.1 km/h,1007 mbar,0.8,,,,,,Tốt
Mây rải rác,4°C,91%,9.9 km/h,1011 mbar,2,,,,,,Tốt
Nhiều mây,-9°C,66%,6.1 km/h,1013 mbar,4,5,,4,,,Tốt
Nhiều mây,3°C,93%,5.6 km/h,1024 mbar,3.2,,,,,,Tốt
Nhiều mây,-4°C,89%,19.5 km/h,997 mbar,3,9,,5,0.7,,Tốt
Mây rải rác,-9°C,43%,11.1 km/h,994 mbar,3.1,5.4,,18.9,,,Tốt
Ít mây,-10°C,89%,14.8 km/h,992 mbar,4.2,5.3,,13.8,0.2,,Tốt
Mưa,23°C,73%,13 km/h,1017 mbar,8.3,18.1,,20.4,,,Tốt
Nhiều mây,-1°C,35%,5.2 km/h,1001 mbar,4,,,,,,Tốt
Trời quang,21°C,67%,24 km/h,1016 mbar,2,,,0,0,,Tốt
Nhiều mây,26°C,83%,14.5 km/h,1011 mbar,4,,,,,,Tốt
Nhiều mây,14°C,75%,13.9 km/h,998 mbar,3,6,,5,,0.4,Tốt
Ít mây,-4°C,93%,5.5 km/h,1009 mbar,14.3,18.7,,,,,Trung bình
Nhiều mây,-19°C,81%,7.4 km/h,1006 mbar,1.6,,,,,,Tốt
Nhiều mây,9°C,71%,3.2 km/h,1016 mbar,1.7,,,,,,Tốt
Trời quang,-5°C,82%,0 km/h,1008 mbar,1.2,,,,,,Tốt
Sương mù,1°C,91%,0 km/h,1024 mbar,20.5,,,,,,Trung bình
Nhiều mây,3°C,97%,0 km/h,1024 mbar,3.2,,,,,,Tốt
Nhiều mây,20°C,88%,0 km/h,1008 mbar,4.4,29.6,,20.7,,,Tốt
Ít mây,25°C,61%,5.5 km/h,1017 mbar,2.1*,,,,,,Tốt
Nhiều mây,-3°C,50%,21.6 km/h,1015 mbar,3,,,1.3,,,Tốt
Nhiều mây,-17°C,97%,3.4 km/h,1014 mbar,8.4,,,,3.4,,Tốt
Mây rải rác,-1°C,75%,22.5 km/h,1009 mbar,1.1*,,,,,,Tốt
Tuyết,-4°C,86%,14.8 km/h,993 mbar,1.1*,,,9.5*,,,Tốt
Mưa,24°C,86%,12.1 km/h,1012 mbar,1.2,,,,,,Tốt
Nhiều mây,2°C,60%,41.2 km/h,998 mbar,6,18,,7.5,2.6,,Tốt
Mưa,10°C,93%,13 km/h,1000 mbar,1,4,,9,2,,Tốt
Sương mù,-5°C,97%,1.8 km/h,1010 mbar,14.5,16.1,,23.8,,,Trung bình
Sương mù,-5°C,95%,1.8 km/h,1012 mbar,15.6,19.5,,67.9,,,Trung bình
Mây rải rác,-3°C,94%,3.7 km/h,1009 mbar,28.2,34.9,,44.4,,,Trung bình
Sương mù,-5°C,97%,1.8 km/h,1010 mbar,12.3,14.7,,60.9,,,Trung bình
Mây rải rác,-1°C,86%,6.8 km/h,1010 mbar,15.2,18.5,,55.9,,,Trung bình
Nhiều mây,1°C,85%,6.4 km/h,1024 mbar,18.6,,,,,,Trung bình
Nhiều mây,2°C,93%,2.9 km/h,1023 mbar,9.6,,,,,,Tốt
Trời quang,2°C,91%,0 km/h,1023 mbar,3,,,,,,Tốt
Sương mù,2°C,88%,0 km/h,1026 mbar,12.5,,,,,,Trung bình
Nhiều mây,1°C,91%,2.7 km/h,1024 mbar,7,,,,,,Tốt
Mưa,14°C,72%,3.7 km/h,1007 mbar,1.9,,,,,,Tốt
Nhiều mây,20°C,90%,4.8 km/h,1007 mbar,5.8,21,,15,,,Tốt
Nhiều mây,20°C,90%,4.8 km/h,1007 mbar,5.8,21,,15,,,Tốt
Nhiều mây,19°C,90%,4.8 km/h,1003 mbar,6.4,18.1,,7.5,,,Tốt
Nhiều mây,-4°C,55%,22.4 km/h,1007 mbar,5.6,8,,,,,Tốt
Trời quang,9°C,45%,22.2 km/h,1016 mbar,1,,,,,,Tốt
Trời quang,2°C,43%,11.1 km/h,1008 mbar,3.8,,,,,,Tốt
Nhiều mây,2°C,97%,1.6 km/h,1023 mbar,16.8,,,,,,Trung bình
Nhiều mây,1°C,98%,0.9 km/h,1023 mbar,5.1,,,,,,Tốt
Nhiều mây,21°C,95%,1.6 km/h,1004 mbar,8.1,20.6,30,3.8,,,Tốt
Nhiều mây,2°C,97%,4.2 km/h,1023 mbar,6.2,,,,,,Tốt
Nhiều mây,1°C,89%,9.4 km/h,1023 mbar,2,,,,,,Tốt
Nhiều mây,-2°C,46%,4.8 km/h,1010 mbar,4.9,,,4.7,,,Tốt
Nhiều mây,0°C,73%,46.7 km/h,1005 mbar,2.3,,,,,,Tốt
Ít mây,-2°C,70%,8.3 km/h,1031 mbar,2,,58,5.3,,,Tốt
Nhiều mây,-1°C,35%,6.4 km/h,1001 mbar,10,,,16.9,,,Tốt
Nhiều mây,23°C,94%,3.7 km/h,1010 mbar,5.8,,,,,,Tốt
Ít mây,-3°C,87%,4.4 km/h,1010 mbar,9.6,11.6,,33.1,,,Tốt
Ít mây,-4°C,93%,5.5 km/h,1009 mbar,12.8,15.6,,60.7,,,Trung bình
Nhiều mây,0°C,46%,20.4 km/h,1003 mbar,6.1*,,,,,,Tốt
Ít mây,0°C,63%,5.4 km/h,1021 mbar,1.2,,,,,,Tốt
Nhiều mây,1°C,59%,4.5 km/h,1025 mbar,,,51.7,,,,Tốt
Ít mây,8°C,46%,14.8 km/h,1020 mbar,11,11,50,0,0,0,Tốt
Trời quang,1°C,53%,20.4 km/h,1020 mbar,1.5,,,,,,Tốt
Tuyết,-1°C,68%,16.7 km/h,1004 mbar,0.6,,,,,,Tốt
Mây rải rác,2°C,90%,3.2 km/h,1023 mbar,11,,,,,,Tốt
Trời quang,14°C,58%,11 km/h,1007 mbar,1.4,,,,,,Tốt
Trời quang,13°C,61%,7.4 km/h,1008 mbar,1.8,,,,,,Tốt
Mây rải rác,25°C,85%,12.4 km/h,1006 mbar,9.1,23.2,,,,,Tốt
Mưa,8°C,91%,23.3 km/h,1014 mbar,1.4,,,,,,Tốt
Mưa,10°C,86%,29.6 km/h,1009 mbar,0.5,,,,,,Tốt
Mây rải rác,30°C,51%,13 km/h,1009 mbar,2,,,,,,Tốt
Nhiều mây,-2°C,77%,5.5 km/h,1014 mbar,,,14,,,,Tốt
Nhiều mây,3°C,84%,5 km/h,1022 mbar,5.2,,,,,,Tốt
Nhiều mây,4°C,85%,8.1 km/h,1024 mbar,10.7,,,,0.5,27.5,Tốt
