Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 ,target, CO 
Nhiều mây,7°C,70%,12.7 km/h,1016 mbar,8,7,,7.5,,Tốt,
Nhiều mây,9°C,69%,15.1 km/h,1019 mbar,9,9,,16.9,0,Tốt,
Nhiều mây,2°C,92%,9.7 km/h,1007 mbar,4,,,,,Tốt,
Nhiều mây,8°C,62%,11.2 km/h,1006 mbar,9.1*,,,,,Tốt,
Nhiều mây,16°C,93%,21.2 km/h,1012 mbar,3.1*,,,,,Tốt,
Mây rải rác,23°C,87%,11.1 km/h,1019 mbar,6,13,,14,1,Tốt,
Ít mây,-4°C,80%,22.5 km/h,1012 mbar,5.7,,,,,Tốt,
Nhiều mây,10°C,79%,7.2 km/h,1010 mbar,25.1,62.5,19.9,,36.1,Trung bình,0
Sương mù,2°C,89%,5.5 km/h,1007 mbar,31.2,32.9,,72.9,9.9,Trung bình,
Nhiều mây,7°C,91%,14.8 km/h,1009 mbar,15,,,,,Trung bình,
Nhiều mây,1°C,88%,24.2 km/h,1008 mbar,0.6,,,,,Tốt,
Nhiều mây,7°C,83%,11.1 km/h,1012 mbar,4.9,,,,,Tốt,
Mưa,4°C,94%,3.9 km/h,1009 mbar,1.9,,,,,Tốt,
Nhiều mây,7°C,91%,14.8 km/h,1012 mbar,0.8,,,,,Tốt,
Nhiều mây,5°C,89%,14.8 km/h,1014 mbar,4.8,,58.7,,,Tốt,
Nhiều mây,6°C,52%,13 km/h,1004 mbar,0.2,,,,,Tốt,
Nhiều mây,-4°C,44%,1.6 km/h,1001 mbar,0.4,,,,,Tốt,
Nhiều mây,15°C,28%,11.3 km/h,1000 mbar,,,84,,,Tốt,
Nhiều mây,1°C,31%,5.4 km/h,1001 mbar,9,11,4,,,Tốt,
Nhiều mây,4°C,32%,9.6 km/h,1003 mbar,0.3,,,,,Tốt,
Nhiều mây,17°C,88%,6.4 km/h,1017 mbar,14.7,,,,,Trung bình,
Nhiều mây,4°C,69%,11.1 km/h,1022 mbar,4.6,,,,,Tốt,
Nhiều mây,-2°C,84%,16.7 km/h,1020 mbar,3.4,,,,,Tốt,
Trời quang,0°C,87%,8.4 km/h,1026 mbar,8.1,,,,,Tốt,
Nhiều mây,1°C,94%,0 km/h,1020 mbar,9.1*,,,,,Tốt,
Nhiều mây,-2°C,88%,14.8 km/h,1025 mbar,7.3,,,,,Tốt,
Trời quang,-6°C,85%,16.7 km/h,1025 mbar,8.7,,,,,Tốt,
Nhiều mây,-3°C,91%,14.8 km/h,1024 mbar,13.1*,,,,,Trung bình,
Trời quang,7°C,98%,2.2 km/h,1021 mbar,1,,,,,Tốt,
Trời quang,4°C,95%,4.4 km/h,1020 mbar,3.1*,,,,,Tốt,
Nhiều mây,8°C,82%,14.8 km/h,1020 mbar,10,20.9,,,,Tốt,
Nhiều mây,1°C,82%,5.5 km/h,1027 mbar,14.1,,,,,Trung bình,
Trời quang,2°C,87%,14.8 km/h,1021 mbar,6.3,,,15,0,Tốt,
Nhiều mây,12°C,91%,6.9 km/h,1019 mbar,4,,18,,,Tốt,
Nhiều mây,0°C,80%,19.3 km/h,1004 mbar,0.9,,,,,Tốt,
Nhiều mây,5°C,61%,24.1 km/h,1022 mbar,6.1,,4.4,,,Tốt,
Mây rải rác,7°C,69%,27.8 km/h,1021 mbar,15.4,,,,,Trung bình,
Nhiều mây,0°C,85%,1.6 km/h,1028 mbar,7.2,,,,,Tốt,
Trời quang,1°C,72%,7.4 km/h,1010 mbar,13.1*,,,,,Trung bình,
Nhiều mây,25°C,85%,6.5 km/h,1012 mbar,8.1*,,,,,Tốt,
Trời quang,-8°C,65%,14 km/h,1025 mbar,2.1,,,5.5,0.3,Tốt,
Trời quang,0°C,86%,18.5 km/h,1006 mbar,3.1*,,,,,Tốt,
Nhiều mây,0°C,48%,13.9 km/h,1009 mbar,13.1*,,,,,Trung bình,
Sương mù,-2°C,93%,14.8 km/h,1007 mbar,7.1*,,,,,Tốt,
Trời quang,0°C,46%,12.5 km/h,1011 mbar,9.1*,,,,,Tốt,
Nhiều mây,7°C,51%,3.7 km/h,1007 mbar,12.1*,,,,,Trung bình,
Ít mây,0°C,80%,1.8 km/h,1014 mbar,25,,,,,Trung bình,
Nhiều mây,-1°C,79%,5.4 km/h,1014 mbar,6.1*,,37*,,,Tốt,
Tuyết,-1°C,77%,6.4 km/h,1014 mbar,4.1*,,,,,Tốt,
Nhiều mây,0°C,70%,3.5 km/h,1014 mbar,20.3,21.4,22.5,19.4,,Trung bình,
Nhiều mây,0°C,79%,3.7 km/h,1012 mbar,18,25,,30.5,,Trung bình,
Nhiều mây,-1°C,93%,19.2 km/h,1010 mbar,10.5,12.6,,5.9,1.1,Tốt,
Trời quang,1°C,60%,4.2 km/h,1009 mbar,12.5,19.5,,,,Trung bình,
Nhiều mây,1°C,89%,1.7 km/h,1014 mbar,14,18,,,,Trung bình,
Sương mù,-1°C,100%,11.1 km/h,1004 mbar,40.3,27,,44.9,,Không lành mạnh cho các nhóm nhạy cảm,
Nhiều mây,7°C,84%,5.8 km/h,1008 mbar,3.1*,,,,,Tốt,
Trời quang,8°C,67%,3.2 km/h,1006 mbar,3.9,,,,,Tốt,
Mây rải rác,8°C,78%,2.7 km/h,1005 mbar,6.1*,,,,,Tốt,
Nhiều mây,10°C,55%,12.1 km/h,1017 mbar,7.1*,,,,,Tốt,
Nhiều mây,9°C,62%,8.9 km/h,1019 mbar,8.1*,,,,,Tốt,
Nhiều mây,4°C,67%,12.7 km/h,1017 mbar,7,9,,36.7,2.6,Tốt,
Nhiều mây,12°C,82%,4 km/h,1019 mbar,18,,,,,Trung bình,
Nhiều mây,4°C,75%,3 km/h,1022 mbar,8,10,,32,,Tốt,
Nhiều mây,7°C,90%,8.6 km/h,1019 mbar,10,7,,37.6,2.6,Tốt,
Mây rải rác,6°C,67%,9.6 km/h,1022 mbar,9.5,9,,43.2,2.6,Tốt,343.5
Ít mây,4°C,66%,7.8 km/h,1023 mbar,10,7,,11.3,,Tốt,343.5
Mưa,8°C,73%,18.3 km/h,1017 mbar,12,11,,11.3,5.2,Tốt,
Tuyết,-5°C,96%,9.3 km/h,994 mbar,9.7,,,,3.9,Tốt,
Ít mây,0°C,79%,9.3 km/h,1009 mbar,20,23.5,36,18.2,1.4,Trung bình,
Trời quang,0°C,80%,4.8 km/h,1010 mbar,26.1,42.8,,,,Trung bình,
Trời quang,11°C,93%,4.2 km/h,1016 mbar,4.3,12.6,,,0.5,Tốt,
Sương mù,18°C,100%,31.5 km/h,1007 mbar,3,,,4,1,Tốt,
Mưa,10°C,80%,20.9 km/h,998 mbar,9,14,,48,3,Tốt,
Nhiều mây,16°C,86%,18 km/h,999 mbar,6.2,,,,1,Tốt,
Nhiều mây,0°C,84%,15 km/h,1008 mbar,14,17,,,,Trung bình,
Nhiều mây,7°C,91%,18.5 km/h,1012 mbar,2.2,,,,,Tốt,
Ít mây,-3°C,74%,9.3 km/h,1009 mbar,3.1,,,,,Tốt,
Nhiều mây,6°C,95%,9.3 km/h,1013 mbar,1,,,,,Tốt,
Nhiều mây,6°C,90%,15.8 km/h,1013 mbar,5.1,,,,,Tốt,
Mưa,5°C,86%,5.5 km/h,1011 mbar,0,,,,,Tốt,
Mưa,8°C,71%,11.1 km/h,1012 mbar,3.9,,,,,Tốt,
Mưa,3°C,91%,1.6 km/h,1009 mbar,0.1,,,,,Tốt,
Sương mù,16°C,90%,11.1 km/h,1019 mbar,30.5,,4,,3.4,Trung bình,
Nhiều mây,1°C,91%,11.1 km/h,1027 mbar,9.9,,,,,Tốt,
Sương mù,17°C,89%,11.1 km/h,1017 mbar,14.2,,,,,Trung bình,
Trời quang,17°C,97%,8.1 km/h,1017 mbar,7.2,,22,,,Tốt,
Nhiều mây,-3°C,86%,9.3 km/h,1020 mbar,1.8,,,,,Tốt,
Nhiều mây,0°C,89%,9.3 km/h,1026 mbar,6.4,,,,,Tốt,
Nhiều mây,0°C,84%,11.1 km/h,1027 mbar,10,,,,,Tốt,
Nhiều mây,-1°C,91%,0 km/h,1022 mbar,2,,,,,Tốt,
Nhiều mây,8°C,95%,11.1 km/h,1016 mbar,2.9,,,,,Tốt,
Sương mù,4°C,95%,0 km/h,1015 mbar,11.6,,,,,Tốt,
Nhiều mây,2°C,82%,11.1 km/h,1021 mbar,13.1*,,,,,Trung bình,
Nhiều mây,3°C,94%,5.5 km/h,1015 mbar,5.1,,,,,Tốt,
Mưa rào,14°C,92%,12.9 km/h,1014 mbar,19.4,,,,,Trung bình,
Nhiều mây,-5°C,86%,3.2 km/h,1007 mbar,1.9,,,,,Tốt,
Ít mây,0°C,95%,8.5 km/h,1027 mbar,13.1,,,,,Trung bình,
Nhiều mây,-4°C,60%,3.2 km/h,1013 mbar,12,14,46,14,2,Tốt,
Nhiều mây,-20°C,97%,7.5 km/h,1026 mbar,4.3,,,9.4,2.6,Tốt,
Trời quang,4°C,30%,10 km/h,1010 mbar,120,230,51,107,14,Không lành mạnh,1600
Mây rải rác,0°C,86%,11.1 km/h,1008 mbar,8.1*,,,,,Tốt,
Trời quang,1°C,64%,5.5 km/h,1007 mbar,18,22.8,18,38.3,,Trung bình,
Trời quang,1°C,69%,11.1 km/h,1006 mbar,34.7,37.3,16.6,28.1,,Trung bình,
Nhiều mây,0°C,58%,8.5 km/h,1010 mbar,14.1*,,,,,Trung bình,
Sương mù,-2°C,100%,14.8 km/h,1007 mbar,5.1*,,,,,Tốt,
Trời quang,0°C,63%,11.6 km/h,1012 mbar,10.1*,,,,,Tốt,
Nhiều mây,0°C,83%,13 km/h,1008 mbar,26.2*,,,,,Trung bình,
Trời quang,3°C,66%,5.5 km/h,1003 mbar,6.1*,,,,,Tốt,
Trời quang,2°C,60%,9.3 km/h,1003 mbar,4.1*,,,,,Tốt,
Mưa,3°C,100%,16.7 km/h,1001 mbar,5.1*,,,,,Tốt,
Trời quang,3°C,75%,14.8 km/h,1004 mbar,48.6,59.7,,31.5,,Không lành mạnh cho các nhóm nhạy cảm,
Nhiều mây,2°C,56%,15.2 km/h,1007 mbar,39.6,36.6,28.1,8.9,,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,1°C,87%,16.7 km/h,1004 mbar,26.9,33.7,23.2,16.5,0.3,Trung bình,
Ít mây,0°C,80%,2.1 km/h,1014 mbar,26,28,,,,Trung bình,
Nhiều mây,0°C,82%,8.5 km/h,1013 mbar,29,38,,,,Trung bình,
Nhiều mây,0°C,69%,2.4 km/h,1014 mbar,16,23,,,,Trung bình,
Trời quang,-11°C,85%,4.5 km/h,1034 mbar,1.3,1,,,,Tốt,
Nhiều mây,9°C,79%,8.9 km/h,997 mbar,1,6,,,,Tốt,
Nhiều mây,11°C,81%,12.8 km/h,994 mbar,0,2,,,,Tốt,
Nhiều mây,12°C,71%,16.7 km/h,991 mbar,0,2,,,,Tốt,
Nhiều mây,10°C,81%,3.2 km/h,995 mbar,1,2,,,,Tốt,
Nhiều mây,11°C,74%,14.2 km/h,994 mbar,0,1,,,,Tốt,
Trời quang,9°C,91%,9.2 km/h,996 mbar,3.1*,,,,,Tốt,
Mưa,17°C,83%,40.8 km/h,996 mbar,7,38,,1,,Tốt,
Nhiều mây,17°C,84%,28.5 km/h,1011 mbar,0,1,,0,,Tốt,
Nhiều mây,11°C,68%,8.8 km/h,997 mbar,1,2,,,,Tốt,
Nhiều mây,11°C,84%,26.6 km/h,1001 mbar,2,5,,,,Tốt,
Nhiều mây,11°C,72%,24.6 km/h,998 mbar,1,3,,,,Tốt,
Nhiều mây,-29°C,100%,1.6 km/h,1030 mbar,2.9,3.5,,,,Tốt,
Nhiều mây,-12°C,94%,10.7 km/h,1026 mbar,3.2,3.2,,,,Tốt,
Nhiều mây,12°C,69%,22.2 km/h,997 mbar,1,3,,,,Tốt,
Tuyết,-19°C,71%,16.7 km/h,1023 mbar,2.3,,,0.6,0.2,Tốt,114.5
Nhiều mây,-7°C,82%,3.9 km/h,1021 mbar,3.4,17.2,32.7,1.6,0,Tốt,0.1
Nhiều mây,6°C,83%,22.5 km/h,1014 mbar,,,14,,,Tốt,
Trời quang,0°C,71%,4.2 km/h,1028 mbar,3.8,,,35.3,4.9,Tốt,
Ít mây,25°C,73%,6.7 km/h,1017 mbar,2.1*,,,,,Tốt,
Nhiều mây,14°C,79%,8.7 km/h,1007 mbar,6,13,34,9,3,Tốt,0.2
Nhiều mây,18°C,78%,3.7 km/h,1016 mbar,0.2,,,,,Tốt,
Nhiều mây,4°C,95%,5 km/h,1015 mbar,1.5,,,,,Tốt,
Nhiều mây,4°C,97%,6.9 km/h,1017 mbar,1.8,,,,,Tốt,
Nhiều mây,4°C,94%,0 km/h,1016 mbar,12.1,,,,,Trung bình,
Nhiều mây,4°C,90%,19.3 km/h,1021 mbar,1.7,,,,,Tốt,
Nhiều mây,3°C,98%,3.1 km/h,1015 mbar,5.7,,,,,Tốt,
Mưa,23°C,91%,13 km/h,1008 mbar,6.8,26.4,,9.4,7.9,Tốt,
Nhiều mây,12°C,67%,23.8 km/h,998 mbar,1,3,,,,Tốt,
Mưa,9°C,98%,16.1 km/h,999 mbar,1,1,,,,Tốt,
Nhiều mây,31°C,55%,25.9 km/h,1013 mbar,6,,,,,Tốt,
Mưa,10°C,81%,25.9 km/h,998 mbar,1,,,,,Tốt,
Trời quang,25°C,71%,6.4 km/h,1017 mbar,2,,,,,Tốt,
Nhiều mây,10°C,59%,33.3 km/h,1009 mbar,0.8,,,,,Tốt,
Nhiều mây,8°C,91%,18.5 km/h,1011 mbar,0.5,,,,,Tốt,
Trời quang,-1°C,73%,5.8 km/h,1010 mbar,0.2,,,,,Tốt,
Nhiều mây,22°C,91%,15.8 km/h,1010 mbar,2.4,,,,,Tốt,
Nhiều mây,24°C,89%,6.1 km/h,1009 mbar,1.8,,,,,Tốt,
Mây rải rác,10°C,75%,9.5 km/h,997 mbar,3.1*,,,,,Tốt,
Trời quang,1°C,78%,8.7 km/h,1017 mbar,5.5,,,,,Tốt,
Nhiều mây,20°C,83%,14 km/h,1015 mbar,3.1*,,,,,Tốt,
Mưa,26°C,87%,1.9 km/h,1009 mbar,13.5,19.5,11.2,2.4,3,Trung bình,
Nhiều mây,15°C,74%,25.6 km/h,1007 mbar,8.1*,,,4*,3*,Tốt,
Mây rải rác,-1°C,88%,4.1 km/h,1010 mbar,5.9,10.9,,43.3,,Tốt,
Mưa,23°C,76%,24.1 km/h,1017 mbar,4.1*,,,,,Tốt,
Nhiều mây,-6°C,93%,3.2 km/h,1028 mbar,0.5,,,,,Tốt,
Nhiều mây,5°C,99%,5.5 km/h,1018 mbar,5.8,,,,,Tốt,
Nhiều mây,5°C,95%,5.5 km/h,1017 mbar,4.5,,,,,Tốt,
Nhiều mây,4°C,97%,0 km/h,1017 mbar,2.7,,,,,Tốt,
Nhiều mây,3°C,94%,5.5 km/h,1015 mbar,2.6,,,,,Tốt,
Nhiều mây,2°C,97%,5.5 km/h,1016 mbar,1.1,,,,,Tốt,
Nhiều mây,5°C,87%,7.4 km/h,1015 mbar,1.1,,,,,Tốt,
Trời quang,9°C,74%,16.7 km/h,1009 mbar,0,,,,,Tốt,
Mây rải rác,3°C,90%,10.4 km/h,1016 mbar,2.3,,,,,Tốt,
Nhiều mây,-3°C,74%,3.2 km/h,1021 mbar,4.1,,,11.8,0,Tốt,
Trời quang,-8°C,67%,22.2 km/h,1006 mbar,1,,,6.8,,Tốt,
Trời quang,-12°C,85%,18.5 km/h,1016 mbar,5.2,9.9,,17.2,,Tốt,
Mây rải rác,26°C,66%,9.3 km/h,1016 mbar,5.7,,,,,Tốt,
Nhiều mây,10°C,64%,33.3 km/h,1008 mbar,0.2,,,,,Tốt,
Ít mây,-7°C,65%,22.2 km/h,1023 mbar,5.4,,,,,Tốt,
Mưa,25°C,65%,13.1 km/h,1009 mbar,3.8,16.7,,,,Tốt,
Nhiều mây,26°C,83%,9.3 km/h,1010 mbar,4.3,10.3,,1.9,,Tốt,
Mưa,22°C,93%,13 km/h,1009 mbar,10.3,,,,,Tốt,
Nhiều mây,-20°C,71%,18.5 km/h,1006 mbar,1.2,1.9,,,0.5,Tốt,
Nhiều mây,-5°C,59%,9.6 km/h,1019 mbar,3.5,,,7,0,Tốt,
Trời quang,-3°C,60%,3.2 km/h,1011 mbar,5.4,6.9,,17.9,,Tốt,
Tuyết,-5°C,92%,22.2 km/h,992 mbar,0.2,,,,,Tốt,
Trời quang,-2°C,73%,3.2 km/h,1008 mbar,0,,,,,Tốt,
Mây rải rác,22°C,83%,29.6 km/h,1018 mbar,2.1*,,,,,Tốt,
Trời quang,4°C,90%,27.8 km/h,1016 mbar,5.7,,,,,Tốt,
Mưa,5°C,93%,7.4 km/h,1015 mbar,3.7,,,,,Tốt,
Mưa rào,5°C,94%,9.6 km/h,1018 mbar,1.6,,,,,Tốt,
Nhiều mây,4°C,93%,4.8 km/h,1016 mbar,6.9,,,,,Tốt,
Nhiều mây,12°C,77%,14.6 km/h,994 mbar,1,2,,,,Tốt,
Nhiều mây,12°C,70%,22.2 km/h,997 mbar,1,7,,,,Tốt,
Ít mây,9°C,81%,15.1 km/h,996 mbar,0,3,,,,Tốt,
Mây rải rác,33°C,30%,11.6 km/h,1011 mbar,5.4,,,,,Tốt,
Ít mây,-2°C,93%,16.7 km/h,1015 mbar,1.4,,,,,Tốt,
Nhiều mây,-30°C,100%,9.4 km/h,1025 mbar,0.6,,,,,Tốt,
Nhiều mây,-22°C,80%,27.9 km/h,1019 mbar,1.1*,,,,,Tốt,
Trời quang,25°C,73%,1.6 km/h,1015 mbar,2.4,,,,,Tốt,
Mây rải rác,19°C,70%,4.8 km/h,1007 mbar,28,38,2,5,,Trung bình,
Nhiều mây,-7°C,77%,7.4 km/h,1010 mbar,4,6.3,,6.2,,Tốt,
Trời quang,26°C,60%,14.7 km/h,1016 mbar,2.1*,,,,,Tốt,
Nhiều mây,20°C,78%,9 km/h,1015 mbar,4,,,,,Tốt,
Sương mù,1°C,91%,9.6 km/h,1016 mbar,3.2,,,,,Tốt,
Mưa rào,5°C,93%,7.4 km/h,1015 mbar,2.2,,,,,Tốt,
Nhiều mây,3°C,87%,5.5 km/h,1017 mbar,1.3,,,,,Tốt,
Nhiều mây,4°C,92%,0 km/h,1016 mbar,2.1*,,,,,Tốt,
Mưa,5°C,92%,9.3 km/h,1015 mbar,3,,,,,Tốt,
Trời quang,3°C,91%,7.4 km/h,1015 mbar,5.3,,,,,Tốt,
Nhiều mây,4°C,92%,12.9 km/h,1017 mbar,3.9,,,,,Tốt,
Nhiều mây,25°C,70%,9.3 km/h,1009 mbar,4,12.6,,11.3,,Tốt,
Nhiều mây,25°C,83%,9.3 km/h,1010 mbar,1.8,,,,,Tốt,
Trời quang,-1°C,76%,9.2 km/h,1013 mbar,13.3,16,,,1,Trung bình,
Trời quang,-2°C,94%,6.7 km/h,1013 mbar,8,10,,5,1,Tốt,
Nhiều mây,-11°C,70%,27.8 km/h,1009 mbar,3.5,4.8,,8.8,,Tốt,
Trời quang,-2°C,51%,6.5 km/h,1013 mbar,11.1*,,,,,Tốt,
Trời quang,26°C,69%,42.6 km/h,1014 mbar,13,20,23.1,9.1,,Trung bình,0.3
Nhiều mây,14°C,82%,19.6 km/h,1006 mbar,3.1*,,,,,Tốt,
Nhiều mây,16°C,94%,28 km/h,1010 mbar,15,,,1,,Trung bình,
Trời quang,19°C,72%,9.3 km/h,1008 mbar,3,20,6,36,3,Tốt,0.2
Nhiều mây,-1°C,71%,27 km/h,1010 mbar,2,3.6,,2.5,,Tốt,
Trời quang,-3°C,86%,18.5 km/h,1010 mbar,9.4,18.7,,9.8,,Tốt,
Nhiều mây,-1°C,88%,3.8 km/h,1010 mbar,11.5,21.2,,76.7,,Tốt,
Mây rải rác,-1°C,87%,4.1 km/h,1009 mbar,10.1*,,,,,Tốt,
Mây rải rác,-1°C,82%,3 km/h,1010 mbar,8.1*,,,,,Tốt,
Nhiều mây,-3°C,94%,3.2 km/h,1006 mbar,12.1*,,,51*,,Trung bình,
Tuyết,0°C,95%,10.7 km/h,993 mbar,0.1,,,,,Tốt,
Nhiều mây,21°C,90%,29.6 km/h,1014 mbar,1,17,,9,1,Tốt,
Ít mây,-3°C,87%,20.4 km/h,1009 mbar,3.7,6,,7.6,,Tốt,
Ít mây,-3°C,87%,20.4 km/h,1009 mbar,2,5.1,,,,Tốt,
Tuyết,-6°C,79%,20.4 km/h,1020 mbar,4.4,4.7,,,,Tốt,
Trời quang,-1°C,83%,9.3 km/h,1009 mbar,5.5,9,,32.2,,Tốt,
Sương mù,-1°C,89%,1.8 km/h,1009 mbar,16.6,22.7,8.8,65.1,2.4,Trung bình,
Nhiều mây,-1°C,91%,3.4 km/h,1010 mbar,7.4,14.7,,40.6,4.9,Tốt,
Mây rải rác,-1°C,87%,3.9 km/h,1009 mbar,6.3,10.3,,,,Tốt,
Mây rải rác,17°C,93%,8.6 km/h,1018 mbar,13.1*,,,,,Trung bình,
Trời quang,21°C,78%,16.7 km/h,1016 mbar,1.8,,,,,Tốt,
Trời quang,3°C,90%,7.4 km/h,1015 mbar,7.4,,,,,Tốt,
Nhiều mây,5°C,94%,11.3 km/h,1014 mbar,1.5,,,,,Tốt,
Nhiều mây,4°C,89%,3.2 km/h,1015 mbar,17,,,,,Trung bình,
Nhiều mây,5°C,89%,7.4 km/h,1014 mbar,4.2,,,,,Tốt,
Nhiều mây,14°C,59%,27.8 km/h,1015 mbar,0.6,,,,,Tốt,
Trời quang,25°C,70%,14.9 km/h,1016 mbar,2.1*,,,,,Tốt,
Mây rải rác,-26°C,100%,2 km/h,1029 mbar,9.1*,,,,,Tốt,
Trời quang,1°C,78%,8.5 km/h,1017 mbar,3.2,,,,,Tốt,
Mây rải rác,-7°C,91%,4.8 km/h,1023 mbar,6.5,,50,,0,Tốt,
Ít mây,1°C,95%,16.7 km/h,1014 mbar,7.7,,,,,Tốt,
Trời quang,1°C,91%,9.9 km/h,1020 mbar,0.1,,,,,Tốt,
Nhiều mây,-3°C,76%,16.1 km/h,1019 mbar,3.3,,,5.8,1.3,Tốt,
Ít mây,-5°C,74%,11.2 km/h,1029 mbar,3,,,4.5,,Tốt,
Trời quang,27°C,12%,12.1 km/h,1014 mbar,10,33,,,,Tốt,
Tuyết,-7°C,89%,47.7 km/h,1004 mbar,4.4,8,,2.3,1.1,Tốt,
Tuyết,-8°C,76%,29.1 km/h,1010 mbar,4,5.3,,3.1,0.8,Tốt,
Tuyết,-9°C,85%,30.9 km/h,1006 mbar,3,5.6,,3,0.9,Tốt,
Nhiều mây,1°C,47%,4.6 km/h,1007 mbar,1.9,2.3,,,,Tốt,
Mưa,18°C,93%,32.2 km/h,1008 mbar,3.1*,25*,,3*,3*,Tốt,
Trời quang,26°C,68%,6.4 km/h,1017 mbar,4.2,,,,,Tốt,
Mưa,13°C,80%,10.5 km/h,1006 mbar,3,28,18,15,4,Tốt,0.1
Nhiều mây,0°C,90%,1.4 km/h,1006 mbar,7.7,12.8,,,,Tốt,
Sương mù,-1°C,90%,1.8 km/h,1009 mbar,10.2,18.4,,,,Tốt,
Tuyết,-11°C,89%,5.5 km/h,997 mbar,0.6,,,,,Tốt,
Nhiều mây,2°C,93%,4.8 km/h,1007 mbar,0.1,,,,,Tốt,
Nhiều mây,7°C,87%,13 km/h,1015 mbar,0.1,,,,,Tốt,
Sương mù,0°C,94%,0 km/h,1006 mbar,0,,,,,Tốt,
Trời quang,0°C,93%,11.1 km/h,1014 mbar,1.5,,,,,Tốt,
Trời quang,0°C,92%,5.4 km/h,1015 mbar,0.5,,,,,Tốt,
Trời quang,4°C,48%,16.7 km/h,1004 mbar,5.4,,,,,Tốt,
Nhiều mây,4°C,69%,15.2 km/h,1016 mbar,7.4,,,,,Tốt,
Nhiều mây,3°C,83%,3.4 km/h,1016 mbar,1.3,,,,,Tốt,
Nhiều mây,4°C,92%,1.7 km/h,1016 mbar,4.8,,,,,Tốt,
Nhiều mây,5°C,91%,27.8 km/h,1016 mbar,1.7,,,,,Tốt,
Nhiều mây,-2°C,92%,8.3 km/h,1012 mbar,1.5,,,,,Tốt,
Ít mây,-2°C,69%,7.4 km/h,1004 mbar,1.1,,,,,Tốt,
Ít mây,24°C,40%,9.3 km/h,1009 mbar,3.1*,,,,,Tốt,
Trời quang,16°C,35%,9.5 km/h,1010 mbar,6.7,19.4,0.4,0.1,0,Tốt,
Trời quang,14°C,55%,18.1 km/h,1004 mbar,9,,,,,Tốt,
Trời quang,17°C,44%,13 km/h,1007 mbar,0.1,,,,,Tốt,
Trời quang,8°C,91%,7.1 km/h,1009 mbar,3.7,,,,,Tốt,
Nhiều mây,-6°C,75%,9.5 km/h,1014 mbar,6,8,,5,1,Tốt,
Trời quang,1°C,93%,15.8 km/h,1016 mbar,1.1,,,,,Tốt,
Tuyết,-6°C,93%,25.9 km/h,998 mbar,2,6.3,,10.5,0.5,Tốt,
Trời quang,-18°C,60%,11.1 km/h,1025 mbar,12.8,,,,,Trung bình,
Tuyết,-9°C,86%,38.9 km/h,1002 mbar,3,7.3,,6.2,0.3,Tốt,
Trời quang,25°C,69%,42.6 km/h,1014 mbar,3.6,20.6,,6.3,,Tốt,
Nhiều mây,-1°C,35%,4.8 km/h,1021 mbar,5,,,,,Tốt,
Nhiều mây,21°C,67%,19.6 km/h,1014 mbar,8,,,0,0,Tốt,
Nhiều mây,28°C,83%,5.2 km/h,1010 mbar,19,,,,,Trung bình,
Nhiều mây,10°C,82%,19.7 km/h,999 mbar,2,6,,5,,Tốt,0.2
Ít mây,0°C,86%,9.3 km/h,1008 mbar,10,14.8,,,,Tốt,
Tuyết,-13°C,89%,5.5 km/h,997 mbar,3.1,,,,,Tốt,
Mưa,6°C,90%,18.5 km/h,1009 mbar,0.2,,,,,Tốt,
Nhiều mây,0°C,75%,11.1 km/h,1006 mbar,4.2,7,,9.2,,Tốt,
Trời quang,0°C,93%,11.1 km/h,1016 mbar,0.2,,,,,Tốt,
Trời quang,3°C,93%,11.3 km/h,1013 mbar,0.1,,,,,Tốt,
Nhiều mây,0°C,70%,11.1 km/h,1006 mbar,1.3,,,,,Tốt,
Sương mù,19°C,95%,7.4 km/h,1017 mbar,9.4,,,,,Tốt,
Sương mù,19°C,98%,7.4 km/h,1017 mbar,8.1*,,,,,Tốt,
Trời quang,20°C,78%,16.7 km/h,1016 mbar,0.2,,,,,Tốt,
Trời quang,4°C,78%,17.7 km/h,1022 mbar,7,,,,,Tốt,
Nhiều mây,0°C,86%,11.1 km/h,1024 mbar,6.1*,,,,,Tốt,
Nhiều mây,8°C,83%,14.8 km/h,1019 mbar,19.1*,,,,,Trung bình,
Nhiều mây,3°C,93%,0 km/h,1016 mbar,5.9,,,,,Tốt,
Nhiều mây,-2°C,77%,22.2 km/h,1019 mbar,6.6,,,,,Tốt,
Nhiều mây,1°C,96%,3.2 km/h,1017 mbar,3,,,,,Tốt,
Nhiều mây,4°C,92%,11.1 km/h,1014 mbar,1.5,,,,,Tốt,
Nhiều mây,4°C,89%,1.6 km/h,1015 mbar,11,,,,,Tốt,
Nhiều mây,4°C,89%,7.4 km/h,1016 mbar,11.3,,,,,Tốt,
Nhiều mây,4°C,98%,1.2 km/h,1015 mbar,3.3,,,,,Tốt,
Mưa,22°C,93%,13 km/h,1009 mbar,2.8,,,,,Tốt,
Mây rải rác,25°C,69%,11.1 km/h,1017 mbar,3.1*,,,,,Tốt,
Nhiều mây,-9°C,67%,9.3 km/h,1022 mbar,3.3,,,3.6,,Tốt,
Nhiều mây,-21°C,89%,20.3 km/h,1009 mbar,7.1,,,,3.7,Tốt,
